run,seed,status,screenshotIndex,screenshotFile,size,river,shore,walls,retries,rejectDistinct,rejectDistance,rejectSide,timeout,cityGenerationMs,navMeshGenerationMs,pathfindingUntilFoundMs,pathfindingMsByRetry,startX,startY,startWardType,startArea,goalX,goalY,goalWardType,goalArea,straightLineDistance,selectedRouteIndexes,route1Length,route2Length,route3Length,route4Length,route1Side,route2Side,route3Side,route4Side,route1SideLabel,route2SideLabel,route3SideLabel,route4SideLabel,candidateRouteLengths,reason,failedAttempts
1,2092573958,ok,1,route-stress-0001.png,38,true,true,false,0,0,0,0,0,297,22,218,214,-51.123634,-91.859053,generic,inner,46.895755,-43.326133,generic,inner,109.377,2|3,,145.095,146.384,,9.974945,-0.061458,15.491012,18.122107,R,L,R,R,136.172|145.095|146.384|149.192,ok,
2,779095091,ok,2,route-stress-0002.png,33,true,false,false,0,0,0,0,0,486,13,85,84,-1.936314,63.790931,generic,inner,-48.050413,79.25956,generic,inner,48.639,3|4,,,98.834,100.083,2.953115,-6.719075,-7.656702,4.235012,R,L,L,R,84.849|91.506|98.834|100.083,ok,
3,1281581929,ok,3,route-stress-0003.png,34,true,true,false,3,0,0,3,0,356,9,454,121|196|126|9,-21.904638,-46.450248,generic,inner,7.634065,-13.882447,generic,inner,43.968,1|2,63.076,64.614,,,-7.206959,6.412575,2.533542,12.63903,L,R,R,R,63.076|64.614|80.328|107.107,ok,"-67.265430,15.619735>-3.449691,1.321535:side;11.841104,5.683228>-84.801911,-13.891049:side;-18.231121,-5.568978>-64.804267,22.847187:side"
4,1173064233,ok,4,route-stress-0004.png,35,false,false,true,5,0,0,5,0,462,13,466,86|221|32|65|14|39,41.67079,65.25774,gate,inner,-64.401261,78.561269,outerHighrise,outsideWall,106.903,3|4,,,162.525,164.862,-12.690287,7.141803,6.472337,-6.487299,L,R,R,L,134.523|154.525|162.525|164.862,ok,"-15.953739,-21.051087>39.811138,-23.301233:side;-54.763015,83.980247>16.649129,25.424970:side;-70.628448,39.312695>12.752683,-2.006616:side;15.333726,9.690083>67.425458,-22.910530:side;34.319284,-19.615154>1.345516,48.998387:side"
5,1837214767,ok,5,route-stress-0005.png,33,true,false,true,3,0,0,3,1,559,13,655,323|217|66|39,-47.202868,78.086539,outerHighrise,outsideWall,-19.421025,-7.952366,park,inner,90.413,2|3,,124.514,125.766,,4.04092,-11.901918,12.510526,-25.222635,R,L,R,L,106.474|124.514|125.766|147.44,ok,"54.448756,23.072120>-17.650773,-14.417886:side:timeout;-90.967213,-9.336526>8.351713,0.822439:side;-48.337985,80.874801>52.824063,95.374385:side"
6,1349391203,ok,6,route-stress-0006.png,31,false,false,false,1,0,0,1,0,394,19,204,114|88,-7.597984,67.642145,generic,inner,60.086796,37.43857,generic,inner,74.118,3|4,,,127.668,127.897,10.673354,-3.455175,15.895113,-3.676904,R,L,R,L,116.556|119.501|127.668|127.897,ok,"36.752874,-65.270891>-49.915621,-7.023731:side"
7,659244376,ok,7,route-stress-0007.png,30,true,false,true,4,0,0,4,0,366,10,729,210|391|63|15|43,-48.321459,18.434432,generic,inner,-32.956118,57.211755,gate,inner,41.711,3|4,,,93.998,108.985,9.375284,-7.89338,-13.213409,13.999745,R,L,L,R,65.329|77.13|93.998|108.985,ok,"-9.266593,-73.706402>17.977037,12.432823:side;73.752605,48.815087>-4.348636,71.324432:side;-4.250520,20.840148>-69.146476,57.372023:side;53.930204,36.871216>-4.030273,-38.992611:side"
8,1646574550,ok,8,route-stress-0008.png,33,false,false,true,3,0,0,3,0,369,10,138,43|26|36|27,-29.137201,30.780381,generic,inner,47.13931,22.99486,generic,inner,76.673,3|4,,,107.106,108.444,-0.561926,-6.057871,-15.201372,5.266198,L,L,L,R,96.77|103.891|107.106|108.444,ok,"8.433616,34.400751>-5.400274,-10.889264:side;-7.937813,-28.820837>-8.776971,33.739660:side;0.021470,-92.248607>-8.569733,-15.122963:side"
9,577699256,ok,9,route-stress-0009.png,26,false,true,true,1,0,0,1,0,291,6,294,227|66,-48.275552,138.089961,outerHighrise,outsideWall,-24.617453,60.558093,generic,inner,81.061,2|3,,135.511,139.557,,-12.035025,-11.851409,12.586544,15.104453,L,L,R,R,130.234|135.511|139.557|157.877,ok,"-106.639449,67.776276>-83.231878,-18.116533:side"
10,1190677812,ok,10,route-stress-0010.png,26,false,false,true,7,1,0,6,0,290,8,374,47|1|51|181|51|1|11|23,-66.994331,46.560082,outerHighrise,outsideWall,3.547095,-38.047576,generic,inner,110.157,1|2,163.941,164.599,,,18.511451,-25.1835,11.603232,37.945583,R,L,R,R,163.941|164.599|193.919|199.451,ok,"-31.593520,7.768396>2.396734,-38.798953:side;-14.216313,81.988702>10.149235,-22.421675:side;-42.103510,65.271552>-57.040806,15.612978:side;-68.366326,36.554019>-13.746247,82.727074:side;65.816741,19.314323>27.051096,71.454300:side;-64.300024,45.352268>2.840685,31.617951:distinct;35.978153,46.340226>-30.659402,-5.884594:side"
11,104187427,ok,11,route-stress-0011.png,37,true,true,true,3,0,0,3,0,294,15,438,251|60|74|42,81.906388,-11.235799,generic,inner,138.079965,-30.177225,gate,inner,59.281,3|4,,,99.927,104.086,5.647694,10.222947,17.599688,-2.517957,R,R,R,L,78.545|87.837|99.927|104.086,ok,"-42.897755,-22.387756>61.158549,-8.111881:side;117.340370,11.996572>32.676960,2.259972:side;87.244681,115.310441>63.057454,71.883206:side"
12,345816214,ok,12,route-stress-0012.png,31,true,false,false,0,0,0,0,0,432,13,277,276,-25.869529,-15.096226,generic,inner,28.903321,26.891608,generic,inner,69.015,3|4,,,112.946,120.668,-0.544085,5.376851,9.747489,-11.617027,L,R,R,L,78.065|92.63|112.946|120.668,ok,
13,1989166271,ok,13,route-stress-0013.png,33,true,false,true,1,0,0,1,0,439,13,454,290|161,-59.965103,-60.034847,gate,inner,41.928128,2.685507,generic,inner,119.65,3|4,,,142.379,143.332,4.473116,-4.431498,14.213235,-7.500855,R,L,R,L,129.397|137.232|142.379|143.332,ok,"-40.982430,76.507099>59.952659,32.151977:side"
14,1368286711,ok,14,route-stress-0014.png,36,false,false,true,0,0,0,0,0,385,12,85,83,-28.26389,-85.616875,generic,inner,38.394821,-19.794261,generic,inner,93.68,2|3,,124.807,125.548,,12.170143,5.986658,-4.758138,7.814913,R,R,L,R,115.583|124.807|125.548|127.7,ok,
15,383114278,ok,15,route-stress-0015.png,31,true,false,true,1,0,0,1,0,456,20,487,304|179,-47.286845,10.192603,generic,inner,-7.269901,80.737698,outerHighrise,outsideWall,81.105,2|3,,138.356,139.191,,10.721451,9.720062,-4.687717,8.058649,R,R,L,R,136.189|138.356|139.191|141.303,ok,"23.783643,-27.642082>20.548068,48.250215:side"
16,1766588536,ok,16,route-stress-0016.png,25,true,true,false,1,0,0,1,0,98,7,441,276|165,53.276124,2.581339,generic,inner,65.645427,-43.808858,generic,inner,48.011,1|2,65.801,88.682,,,3.930963,-9.445502,-1.486312,,R,L,L,,65.801|88.682|361.373,ok,"-46.140129,-43.289472>66.338274,-32.708996:side"
17,1381415011,ok,17,route-stress-0017.png,28,true,true,true,10,0,0,10,0,331,10,619,151|68|106|112|11|38|3|6|63|6|43,-4.55561,-63.616159,gate,inner,-31.324148,2.37713,generic,inner,71.216,2|3,,95.843,100.158,,-1.362917,5.924473,-14.552327,19.707212,L,R,L,R,83.978|95.843|100.158|117.499,ok,"29.564481,-47.318172>21.505684,62.215385:side;-12.582572,-16.305668>83.511653,9.636706:side;63.718631,50.532081>-41.627872,26.320445:side;-54.780173,24.111343>16.971273,-25.012164:side;68.711782,-11.478584>-4.373533,-4.039730:side;26.768922,-49.087916>-60.332021,15.592135:side;20.057688,-51.636742>26.678751,5.340951:side;12.337331,17.954537>-10.084712,-35.420009:side;-43.549245,70.653153>-51.895214,-15.043309:side;-3.137885,-1.847113>-60.076993,15.155047:side"
18,81084819,ok,18,route-stress-0018.png,31,true,true,false,14,3,0,11,0,366,10,774,37|104|90|142|4|103|174|13|7|7|24|31|8|14|3,30.051478,-44.409893,generic,inner,-8.272594,-24.389778,generic,inner,43.238,3|4,,,88.381,98.848,-3.98685,8.54154,-12.046364,11.888466,L,R,L,R,59.397|79.019|88.381|98.848,ok,"-55.053318,-38.698264>-59.042239,-88.305781:side;-50.705678,8.307186>-93.691479,-45.444905:side;-92.693131,-21.838103>-64.611408,28.923761:distinct;-8.469153,-10.574650>-27.519628,28.333560:side;-54.593424,-31.534454>-94.298499,-18.996728:side;4.443578,-72.579876>15.662039,6.337228:side;-66.827211,24.608829>-68.386825,-17.401881:distinct;-44.715688,50.929797>-55.416300,8.885880:side;-6.304043,-10.344298>-56.868469,-86.683662:side;37.884664,-68.677791>-30.023251,26.490474:side;-4.167002,-27.183173>-25.395699,28.996084:distinct;27.029519,58.744094>-79.064139,59.887908:side;-22.139871,-16.697949>-29.158886,28.305820:side;-26.489628,12.314231>-91.960392,-48.611653:side"
19,1767895721,ok,19,route-stress-0019.png,34,false,true,true,0,0,0,0,0,544,14,99,98,61.771347,108.253244,generic,inner,-33.159245,100.025053,gate,inner,95.287,2|3,,128.089,128.318,,-8.873588,14.105974,-5.078575,16.102778,L,R,L,R,121.306|128.089|128.318|141.095,ok,
