mask,pair,retries,dist,relGap,sideGap,len1,len2,rt1,rt2,msSample,msSnap,msRoute,msRefine,msTotal
mask_20250602_081036,0,0,748,0.065,157.2,945.9,1161.4,40702,38202,0.54,15.43,17.84,17.91,54.76
mask_20250602_081036,1,2,1062,0.142,262.2,1702.1,1544.5,54286,47536,0.35,4.78,10.29,30.97,47.11
mask_20250602_081036,2,5,581,0.052,44.8,864.7,776.6,39730,41794,0.3,1.34,11.02,5.07,18.1
mask_20250602_081036,3,4,650,0.234,109.5,1031.4,788.2,31710,25705,0.43,6.61,8.64,21.76,37.79
mask_20250602_081036,4,6,655,0.102,386.7,1484.8,1452,39509,43529,0.27,0.93,14,6.11,21.96
mask_20250602_081036,5,0,703,0.164,198.5,1269.9,874.9,35396,30401,0.03,0.06,1.86,3.71,5.79
mask_20250602_081036,6,4,525,0.072,237.7,893,1111.7,30337,32534,0.13,3.82,10.66,9.2,24.03
mask_20250602_081036,7,1,590,0.103,140.6,902.5,900.1,24329,26842,0.05,0.14,3.74,6.34,10.42
mask_20250602_081036,8,0,614,0.203,176.8,854.9,1218.6,46034,38271,0.03,0.07,2.95,8.17,11.32
mask_20250602_081036,9,0,685,0.087,233.6,1135.6,906.6,34923,32122,0.02,0.05,1.36,5.59,7.13
mask_20250602_081036,10,1,921,0.060,172.2,1473.2,1105,40952,38637,0.04,0.08,3.71,9.09,13.06
mask_20250602_081036,11,1,569,0.140,145.7,764.1,877.7,30421,26688,0.06,0.13,3.28,14.07,17.65
mask_20250602_081036,12,2,610,0.154,235.0,1076.5,789.7,32836,28463,0.11,0.37,7.61,22.43,30.76
mask_20250602_081036,13,2,1044,0.079,400.2,1563.3,1285.9,43049,39884,0.1,1.08,7.15,14.17,22.74
mask_20250602_081036,14,3,1098,0.121,364.2,1673.4,1721.2,44927,50377,0.13,1.15,9.66,5.89,17.13
