mask,pair,retries,dist,relGap,sideGap,len1,len2,rt1,rt2,msSample,msSnap,msRoute,msRefine,msTotal
mask_20250715_092410,0,0,1434,0.059,161.5,1509.7,1598.4,37832,40082,0.79,32.72,15.12,0.48,517.6
mask_20250715_092410,1,3,1346,0.086,213.9,2075.6,1908.8,52629,48461,0.35,22.84,61.54,38.45,686.66
mask_20250715_092410,2,1,816,0.181,214.9,1102.7,934,27567,23351,0.11,0.19,34.88,5.89,443.7
mask_20250715_092410,3,1,501,0.068,229.4,865.1,867.3,23147,21682,0.07,0.2,29.31,7.71,153.51
mask_20250715_092410,4,2,809,0.098,155.0,961.2,1054.4,24029,26394,0.1,0.19,17.29,0.08,189.85
mask_20250715_092410,5,0,1247,0.024,74.5,1700.8,1743.2,42960,43989,0.04,0.09,18.15,5.87,237.28
mask_20250715_092410,6,2,1047,0.251,273.4,1734.6,1386.6,43365,34665,0.1,0.29,27.88,14.03,528.15
mask_20250715_092410,7,0,724,0.251,134.4,816.5,1021.1,20412,25527,0.03,1.36,19.37,13.88,134.47
mask_20250715_092410,8,1,1131,0.200,74.0,1473.7,1226.8,37016,30843,0.09,1.17,36.18,9.25,514.01
mask_20250715_092410,9,0,1126,0.083,111.0,1687.9,1555.5,43476,40138,0.07,0.12,26.61,12.8,251.12
mask_20250715_092410,10,0,668,0.165,49.9,817.6,703,20474,17575,0.04,2.54,13.54,18.2,185.2
mask_20250715_092410,11,0,526,0.052,58.6,599.3,630.7,14983,15768,0.04,0.09,12.94,0.05,130.5
mask_20250715_092410,12,3,1066,0.202,102.4,1542,1274.9,39735,33058,0.23,0.76,55.16,30.32,472.14
mask_20250715_092410,13,3,661,0.113,98.9,850.6,756.7,21264,19101,0.15,0.4,39.66,37.21,687.65
mask_20250715_092410,14,2,607,0.102,156.6,828,749.8,20700,18780,0.12,0.17,36.4,10.71,404.8
mask_20250715_092410,15,1,1174,0.108,54.8,1279.4,1418.7,32176,35659,0.07,3.33,14.26,8.41,223.68
mask_20250715_092410,16,4,704,0.219,156.5,921,749.8,23024,18890,0.26,0.18,38.49,0.17,417.66
mask_20250715_092410,17,1,909,0.186,146.9,1028.5,1220.9,25924,30737,0.07,0.11,17.87,1.7,245.17
mask_20250715_092410,18,0,711,0.198,245.6,1354.5,1130.9,33861,28272,0.02,0.06,8.49,20.63,200.88
mask_20250715_092410,19,7,604,0.067,184.0,728.8,777,18370,19595,0.5,3.92,51.8,4.64,676.38
mask_20250715_092410,20,0,858,0.115,72.7,1093.9,974,27348,24533,0.02,0.07,4.96,10.59,276.14
mask_20250715_092410,21,4,1095,0.030,197.0,1380.9,1340.9,34523,33522,0.13,1.32,27.34,1.13,303.05
mask_20250715_092410,22,1,834,0.319,283.8,975.4,1273,24385,32162,0.18,0.22,21.08,3.23,218.67
mask_20250715_092410,23,0,1238,0.066,148.7,1628.6,1521.7,41221,38680,0.02,0.06,12.07,22.09,218.82
mask_20250715_092410,24,0,1258,0.130,162.2,1632.1,1435.4,42193,37334,0.02,0.11,41.85,3.28,235.08
mask_20250715_092410,25,0,860,0.056,110.6,946.7,994.9,23698,25019,0.02,0.05,9.41,4.08,175.83
mask_20250715_092410,26,9,1195,0.102,331.7,1649.9,1843.2,45773,50461,0.36,4.32,63.88,48.59,792.25
mask_20250715_092410,27,4,992,0.056,149.8,1122.1,1185.4,28414,29996,0.17,18.23,43.77,28.64,437.74
mask_20250715_092410,28,2,1134,0.173,214.4,1646.9,1403.3,41352,35266,0.09,7.2,13.42,8.64,215.6
mask_20250715_092410,29,2,565,0.259,144.7,675.5,852.3,16921,21308,0.04,0.12,16.21,2.18,130.99
mask_20250715_092410,30,0,1076,0.137,147.2,1425.3,1252,35633,31330,0.03,0.92,4.09,3.25,241.51
mask_20250715_092410,31,8,1438,0.085,124.7,1483,1613.2,37187,40361,0.37,15.02,55.96,34.02,1009.36
mask_20250715_092410,32,4,788,0.107,128.8,999,893.8,25007,22581,0.27,0.51,32.53,19.41,430.96
mask_20250715_092410,33,0,950,0.052,133.2,1020.2,1081.8,25698,27044,0.02,0.05,5.05,0.09,252.67
mask_20250715_092410,34,0,867,0.080,248.3,1125.8,1215.4,28145,30384,0.01,0.08,3.52,4.39,212.02
mask_20250715_092410,35,0,1029,0.075,315.2,1420.2,1533.8,35672,38345,0.02,0.05,4.18,0.82,282.7
mask_20250715_092410,36,5,849,0.059,115.8,905.6,952.3,22725,24056,0.17,1.09,41.67,1.26,188.42
mask_20250715_092410,37,1,1161,0.019,126.5,1312.2,1335.3,32804,33413,0.05,0.11,9.09,5.59,202.64
mask_20250715_092410,38,1,954,0.083,87.2,1201.3,1109.1,30033,27728,0.07,0.1,4.84,14.26,197.47
mask_20250715_092410,39,0,879,0.174,72.9,947.8,1113.3,23816,27952,0.04,0.13,4.82,12.97,174.62
