mask,pair,retries,dist,relGap,sideGap,len1,len2,rt1,rt2,msSample,msSnap,msRoute,msRefine,msTotal
mask_20250715_092410,0,0,1434,0.059,161.5,1509.7,1598.4,37832,40082,0.94,35.78,19.27,0.58,576.45
mask_20250715_092410,1,3,1346,0.086,213.9,2075.6,1908.8,52629,48461,0.5,41.53,75.44,54.75,854.76
mask_20250715_092410,2,1,816,0.181,214.9,1102.7,934,27567,23351,0.21,0.28,55.45,4.9,558.71
mask_20250715_092410,3,1,501,0.068,229.4,865.1,867.3,23147,21682,0.09,0.2,35.74,7.45,173.38
mask_20250715_092410,4,2,809,0.098,155.0,961.2,1054.4,24029,26394,0.11,0.18,22.1,0.07,212.26
mask_20250715_092410,5,0,1247,0.024,74.5,1700.8,1743.2,42960,43989,0.04,0.11,28.03,8.21,332.29
mask_20250715_092410,6,2,1047,0.251,273.4,1734.6,1386.6,43365,34665,0.14,0.35,48.73,10.2,668.24
mask_20250715_092410,7,0,724,0.251,134.4,816.5,1021.1,20412,25527,0.03,1.69,22.51,15.76,161.77
mask_20250715_092410,8,1,1131,0.200,74.0,1473.7,1226.8,37016,30843,0.11,1.29,38.37,7.25,471.24
mask_20250715_092410,9,0,1126,0.083,111.0,1687.9,1555.5,43476,40138,0.07,0.1,24.09,13.51,235.57
mask_20250715_092410,10,0,668,0.165,49.9,817.6,703,20474,17575,0.06,1.59,7.06,14.01,188.72
mask_20250715_092410,11,0,526,0.052,58.6,599.3,630.7,14983,15768,0.02,0.04,15.44,0.03,130.95
mask_20250715_092410,12,3,1066,0.202,102.4,1542,1274.9,39735,33058,0.27,0.97,70.71,27.91,545.14
mask_20250715_092410,13,3,661,0.113,98.9,850.6,756.7,21264,19101,0.14,0.28,42.16,28.8,708.79
mask_20250715_092410,14,2,607,0.102,156.6,828,749.8,20700,18780,0.11,0.13,37.23,11,407.16
mask_20250715_092410,15,1,1174,0.108,54.8,1279.4,1418.7,32176,35659,0.07,2.35,13.99,8.1,256.24
mask_20250715_092410,16,4,704,0.219,156.5,921,749.8,23024,18890,0.16,0.21,41.71,0.11,378.53
mask_20250715_092410,17,1,909,0.186,146.9,1028.5,1220.9,25924,30737,0.08,0.16,24.14,2.79,268.59
mask_20250715_092410,18,0,711,0.198,245.6,1354.5,1130.9,33861,28272,0.02,0.06,5.71,30.18,193.29
mask_20250715_092410,19,7,604,0.067,184.0,728.8,777,18370,19595,0.48,3.66,66.84,5.89,695.16
mask_20250715_092410,20,0,858,0.115,72.7,1093.9,974,27348,24533,0.02,0.07,4.61,18.36,292.11
mask_20250715_092410,21,4,1095,0.030,197.0,1380.9,1340.9,34523,33522,0.15,1.11,17.52,0.84,289.99
mask_20250715_092410,22,1,834,0.319,283.8,975.4,1273,24385,32162,0.12,0.14,17.93,3.16,190.16
mask_20250715_092410,23,0,1238,0.066,148.7,1628.6,1521.7,41221,38680,0.03,0.09,10.48,19.69,226.67
mask_20250715_092410,24,0,1258,0.130,162.2,1632.1,1435.4,42193,37334,0.02,0.06,32.63,3.35,245.74
mask_20250715_092410,25,0,860,0.056,110.6,946.7,994.9,23698,25019,0.02,0.04,5.61,2.55,177.49
mask_20250715_092410,26,9,1195,0.102,331.7,1649.9,1843.2,45773,50461,0.3,4.2,44.12,44.46,770.67
mask_20250715_092410,27,4,992,0.056,149.8,1122.1,1185.4,28414,29996,0.18,12.8,50.25,19.46,430.54
mask_20250715_092410,28,2,1134,0.173,214.4,1646.9,1403.3,41352,35266,0.09,13.25,12.78,10.23,259.23
mask_20250715_092410,29,2,565,0.259,144.7,675.5,852.3,16921,21308,0.05,0.13,17.1,11.48,139.02
mask_20250715_092410,30,0,1076,0.137,147.2,1425.3,1252,35633,31330,0.03,1.06,4.53,2.98,231.69
mask_20250715_092410,31,8,1438,0.085,124.7,1483,1613.2,37187,40361,0.3,20.48,54.98,39.52,1007.28
mask_20250715_092410,32,4,788,0.107,128.8,999,893.8,25007,22581,0.18,0.35,34.24,2.03,509.67
mask_20250715_092410,33,0,950,0.052,133.2,1020.2,1081.8,25698,27044,0.03,0.08,7.13,0.11,234.89
mask_20250715_092410,34,0,867,0.080,248.3,1125.8,1215.4,28145,30384,0.02,0.08,5.33,11.28,182.46
mask_20250715_092410,35,0,1029,0.075,315.2,1420.2,1533.8,35672,38345,0.03,0.05,5.14,0.84,330.46
mask_20250715_092410,36,5,849,0.059,115.8,905.6,952.3,22725,24056,0.18,1.2,50.8,2.13,242.73
mask_20250715_092410,37,1,1161,0.019,126.5,1312.2,1335.3,32804,33413,0.12,0.13,8.22,3.7,215.48
mask_20250715_092410,38,1,954,0.083,87.2,1201.3,1109.1,30033,27728,0.12,0.14,11.38,12.08,196.64
mask_20250715_092410,39,0,879,0.174,72.9,947.8,1113.3,23816,27952,0.05,0.11,5.04,10.14,169.46
